dialog_act,utterance
inform,"french food
"
inform,"i want to find a restaurant in the center that serves lebanese food
"
inform,"tuscan
"
inform,"looking for an expensive restaurant that serves
"
inform,"gastropub
"
inform,"can i get a restaurant in the center
"
inform,"i dont care
"
inform,"um chinese food
"
inform,"spanish
"
inform,"im looking for a moderately priced restaurant
"
inform,"any
"
inform,"catalan
"
inform,"chinese
"
inform,"any part of town
"
inform,"i dont care
"
inform,"moderate price
"
inform,"unintelligible restaurant
"
inform,"dont care
"
inform,"dont care
"
inform,"center
"
inform,"im looking for a cheap restaurant
"
inform,"noise are there any venues that serve indian type food
"
inform,"i dont care
"
inform,"i need a cheap restaurant that serves indonesian food
"
inform,"canapes
"
inform,"any
"
inform,"im looking for an expensive restaurant in the east part of town
"
inform,"expensive
"
inform,"im looking for a cheap restaurant in the west part of town
"
inform,"moderately priced
"
inform,"indian
"
inform,"i dont care
"
inform,"west
"
inform,"indian food
"
inform,"i dont care
"
inform,"bistro food
"
inform,"korean
"
inform,"were else food
"
inform,"i want a cheap restaurant in the south part of town
"
inform,"any
"
inform,"im looking for a restaurant in the north part of town serving italian food
"
inform,"dont care
"
inform,"italian food
"
inform,"north
"
inform,"thai food
"
inform,"i want a korean restaurant
"
inform,"italian food
"
inform,"cheap
"
inform,"west part of town
"
inform,"thai
"
inform,"indian
"
inform,"any
"
inform,"i am looking for a moderately priced restaurant in the
"
inform,"dont care
"
inform,"cheap restaurant north part of town
"
inform,"thai food
"
inform,"any area
"
inform,"persian
"
inform,"food from thailand
"
inform,"australian
"
inform,"expensive
"
inform,"want one that serves international food
"
inform,"any
"
inform,"south
"
inform,"traditional food
"
inform,"serving portuguese food
"
inform,"center area
"
inform,"traditional food
"
inform,"if there is no such venue how about european type of food
"
inform,"scottish
"
inform,"looking for a cheap restaurant
"
inform,"moderately priced in the west part of town
"
inform,"expensive restaurant expensive restaurant east
"
inform,"american
"
inform,"any
"
inform,"i dont care
"
inform,"mediterranean food
"
inform,"any price range
"
inform,"dont care
"
inform,"west
"
inform,"im looking for a restaurant in any area it should serve gastropub food
"
inform,"i want a restaurant that serves basque food
"
inform,"vietnamese food
"
inform,"japanese
"
inform,"dont care
"
inform,"moderately priced restaurant
"
inform,"asian oriental
"
inform,"south
"
inform,"south
"
inform,"indian food
"
inform,"restaurant
"
inform,"dont care
"
inform,"im looking for a restaurant in the west part of town that should serve english food
"
inform,"indian
"
inform,"any area
"
inform,"it should serve caribbean food
"
inform,"turkish food
"
inform,"cheap restaurant
"
inform,"chinese
"
inform,"canapes
"
inform,"german food in the centre of town
"
inform,"can i get a restaurant in the east part of town that serves italian food
"
inform,"doesnt matter
"
inform,"im looking for a restaurant in the center of town that serves thai food
"
inform,"are there mediterranean restaurants in the center of town
"
inform,"polynesian food
"
